Wavelength,R,G,B,C,M,Y
608.2,0.961111118984907,0.313210459556649,0.0589274924706968,0.0914043077823548,0.00990392927126727,0.755492461226479
608.4,0.960006001408697,0.311057516220625,0.0587377687104663,0.0913505760492763,0.0100877414596505,0.754184048098138
608.6,0.958860291260147,0.308915759950864,0.0585493969978195,0.0912995117633019,0.010272363556796,0.752873745993615
608.8,0.95767508681574,0.306785378226737,0.0583624331220661,0.0912510926530792,0.0104577479976857,0.751561582419579
609,0.956451493484354,0.304666556888628,0.0581769326358112,0.0912052974320184,0.010643848198461,0.750247583452793
609.2,0.955190623188594,0.302559480064292,0.0579929508325701,0.0911621057824897,0.0108306185626094,0.748931773729438
609.4,0.953893593746121,0.30046433009521,0.0578105427243837,0.0911214983400217,0.0110180144871522,0.747614176434442
609.6,0.952561528250983,0.29838128746294,0.0576297630194327,0.0910834566774993,0.0112059923688314,0.74629481329081
609.8,0.951195554454944,0.296310530715478,0.057450666099653,0.0910479632893608,0.0113945096102974,0.744973704548953
610,0.949796804148814,0.294252236393606,0.0572733059983505,0.0910150015757967,0.0115835246262955,0.743650868976012
610.2,0.948366412543783,0.292206578957254,0.0570977363778163,0.090984555826947,0.0117729968498539,0.74232632384519
610.4,0.946905517652746,0.290173730711852,0.0569240105069411,0.0909566112070989,0.0119628867384705,0.741000084925081
610.6,0.945415259671637,0.288153861734683,0.0567521812388309,0.0909311537388851,0.0121531557802998,0.739672166468993
610.8,0.943896780360759,0.286147139801242,0.056582300988421,0.0909081702874812,0.012343766500341,0.738342581204285
611,0.942351222426111,0.284153730311588,0.0564144217100917,0.0908876485448039,0.0125346824664821,0.737011340321685
611.2,0.940779728900721,0.2821737962167,0.0562485948752829,0.0908695770137087,0.0127258682918466,0.735678453464628
611.4,0.939183442525975,0.280207497944831,0.0560848714501092,0.0908539449921876,0.0129172896277493,0.734343928718577
611.6,0.937563505132949,0.278254993327867,0.0559233018729745,0.0908407425575671,0.0131089131529542,0.733007772600356
611.8,0.93592105702374,0.276316437527677,0.0557639360321875,0.0908299605507061,0.0133007065627893,0.731669990047476
612,0.934257236352789,0.274391982962471,0.055606823243576,0.0908215905601935,0.0134926385582625,0.730330584407463
612.2,0.932573178508221,0.272481779233154,0.0554520122281024,0.0908156249065461,0.0136846788351761,0.728989557427622
612.4,0.930870015493168,0.270585973049681,0.0552995510894781,0.0908120566264068,0.0138767980732418,0.727646909256029
612.6,0.929148875307104,0.268704708157412,0.055149487291779,0.090810879456742,0.0140689679251972,0.726302638471063
612.8,0.927410881327171,0.266838125263467,0.05500186763706,0.0908120878190396,0.0142611610059194,0.724956742122162
613,0.925657151689515,0.264986361963084,0.0548567382429702,0.0908156768035068,0.0144533508815412,0.72360921577102
613.2,0.923888798670608,0.263149552665968,0.0547141445203676,0.090821642153268,0.0146455120585661,0.722260053532782
613.4,0.922106928068586,0.261327828522651,0.0545741311509342,0.0908299802485628,0.0148376199729832,0.720909248117239
613.6,0.920312638584575,0.259521317350845,0.054436742064791,0.0908406880909433,0.0150296509793826,0.719556790870018
613.8,0.918507021204022,0.257730143561797,0.0543020204181126,0.0908537632874726,0.015221582340071,0.718202671813782
614,0.916691158578026,0.255954428086645,0.0541700085707427,0.0908692040349222,0.0154133922141862,0.716846879689422
614.2,0.914866124404669,0.254194288302774,0.0540407480638086,0.09088700910397,0.0156050596468123,0.715489401997249
614.4,0.913032982810342,0.252449837960167,0.053914279597336,0.0909071778233981,0.0157965645580959,0.714130225038196
614.6,0.91119278773108,0.250721187107763,0.0537906430078645,0.0909297100642906,0.01598788773236,0.712769333955003
614.8,0.90934658229389,0.249008442019812,0.0536698772460621,0.0909546062242316,0.01617901080722,0.711406712773416
615,0.907495398198082,0.24731170512223,0.0535520203543401,0.090981867211503,0.0163699162626988,0.710042344443385
615.2,0.905640255096599,0.245631074918953,0.0534371094444686,0.091011494429282,0.0165605874103418,0.70867621088025
615.4,0.903782159977347,0.243966645918294,0.0533251806751906,0.0910434897598395,0.016751008382332,0.707308293005944
615.6,0.901922106544524,0.242318508559294,0.0532162692298376,0.0910778555487375,0.0169411641206056,0.705938570790181
615.8,0.900061074599953,0.240686749138082,0.0531104092939442,0.091114594589027,0.017131040365967,0.704567023291655
616,0.89820002942441,0.239071449734227,0.0530076340328633,0.0911537101054462,0.0173206236472036,0.703193628699231
616.2,0.896339921158954,0.237472688137093,0.0529079755693805,0.0911952057386178,0.0175099012702019,0.701818364373142
616.4,0.894481684186262,0.235890537772197,0.0528114649613299,0.0912390855292472,0.0176988613070619,0.700441206886181
616.6,0.892626236511951,0.234325067627559,0.0527181321792083,0.0912853539023205,0.0178874925852123,0.699062132064899
616.8,0.890774479145915,0.232776342180061,0.0526280060837903,0.0913340156510969,0.0180757846765264,0.697681115030795
617,0.888927295483652,0.231244421321802,0.0525411144037434,0.0913850759157799,0.0182637278864365,0.696298130241514
617.2,0.887085550687595,0.229729360286451,0.052457483713243,0.0914385401486753,0.0184513132430498,0.694913151532041
617.4,0.885250091068444,0.228231209575602,0.0523771394095869,0.091494414074028,0.018638532486263,0.693526152155892
617.6,0.883421743466491,0.226750014885131,0.0523001056908109,0.0915527036476521,0.0188253780568777,0.692137104826313
617.8,0.881601314632958,0.225285817031549,0.0522264055333029,0.0916134150165633,0.0190118430857157,0.690745981757472
618,0.87978959061132,0.22383865187836,0.0521560606694189,0.0916765544786092,0.0191979213827343,0.689352754705655
